FRASES;ARG1;REL;ARG2;Estrutura ARG1;Estrutura relacionador;Estrutura ARG2;status;;;;;;;;;;;;;;;;;;
"Em 2013, Beyoncé fez a Lista do tempo 100, Baz Luhrmann escrevendo \""ninguém tem essa voz, ninguém se move do jeito que ela se move, ninguém pode manter uma audiência do jeito que ela faz ... Quando Beyoncé faz um álbum, quando Beyoncé canta uma música, quando Beyoncé faz qualquer coisa, é um evento e é amplamente influente.";niguém;pode manter;uma audiência do jeito que ela faz;Pron;V V;Det N ADP det N conj pron v;Extração sugerida por Rerisson;;;;;;;;;;;;;;;;;;
"Em 2013, foi anunciado que Beyoncé trabalharia com Salma Hayek e Frida Giannini em uma campanha da Gucci \""Chime for Change\"", que visa espalhar o empoderamento feminino. ";Beyoncé;trabalharia;com Salma Hayek e Frida Gianni [Rerisson: pergunta para Alan: o COM é para ficar no arg 2 ou na relação?];PropN;V;ADP PropN conj PropN;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Em 2013, foi anunciado que Beyoncé trabalharia com Salma Hayek e Frida Giannini em uma campanha da Gucci \""Chime for Change\"", que visa espalhar o empoderamento feminino. ";Beyoncé;trabalharia em;uma campanha da Gucci;PropN;V ADP;det N ADP det PropN;Extração sugerida por Rerisson;;;;;;;;;;;;;;;;;;
O Bureau do Censo dos Estados Unidos estima que a população de Montana era 1.032.949 em 1º de julho de 2015, um aumento de 4,40% desde o Censo dos Estados Unidos de 2010. ;A população de Montana;era;1032949;Det N ADP PropN;V;Num;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
O Aeroporto Internacional de Bozeman Yellowstone é o aeroporto mais movimentado do estado de Montana, superando o Aeroporto Internacional Billings Logan na primavera de 2013 ;O Aeroporto Internacional de Bozeman Yellowstone;é ;o aeroporto mais movimentado do estado de Montana;Det N adj ADP PropN;V;Det N adv adj ADP det N ADP PropN;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
As bacias hidrográficas dividem-se no Triplo pico de divisão no parque nacional de geleira. ;As bacias hidrográficas ;dividem-se ;no Triplo pico de divisão no parque nacional de geleira;Det N adj;V pron;ADP det adj N ADP N ADP det N adj ADP N;EXTRAÇÃO VÁLIDA ;;;;;;;;;;;;;;;;;;
Na primavera de 1834, Chopin participou do Festival de Música do Baixo Reno em Aix-la-Chapelle com Hiller, e foi lá que Chopin conheceu Felix Mendelssohn. ;Chopin ;participou;do Festival de Música do Baixo Reno ;PropN;V;ADP det N ADP N ADP det PropN;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
Mais tarde naquela manhã, o marido de Solange, Clésinger, fez a máscara mortuária de Chopin e um giro da mão esquerda. ;Clésinger ;fez ;a máscara da mortuária de Chopin;PropN;V;Det N ADP det N ADP PropN;EXTRAÇÃO VÁLIDA;;;;;;;;;;;;;;;;;;
Mais tarde naquela manhã, o marido de Solange, Clésinger, fez a máscara mortuária de Chopin e um giro da mão esquerda. ;o marido de Solange;fez ;a máscara mortuária de Chopin;Det adj ADP PropN;V;Det N ADP det N ADP PropN;;;;;;;;;;;;;;;;;;;
Os mazurkas e valsas de Chopin estão todos na forma ternária ou episódica direta, às vezes com uma coda. ;As mazurkas e valsas de chopin ;estão;todas na forma ternária ou episódica direta;Det N conj N ADP PropN;V;Pron ADP det N adj conj adj adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Em 1841, Léon Escudier escreveu sobre um recital de Chopin naquele ano \""Pode-se dizer que Chopin é o criador de uma escola de piano e escola de composição. ";Léon escudier ;escreveu ;sobre um recital de Chopin ;PropN;V;ADP det N ;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Em 1841, Léon Escudier escreveu sobre um recital de Chopin naquele ano \""Pode-se dizer que Chopin é o criador de uma escola de piano e escola de composição. ";Chopin;é;o criador de uma escola de piano;PropN;V;Det N ADP ADP det N ADP N;EXTRAÇÃO SUGERIDA ;;;;;;;;;;;;;;;;;;
"Debussy dedicou seu próprio piano de 1915, Études, à memória de Chopin; ele freqüentemente tocava a música de Chopin durante seus estudos no Conservatório de Paris e empreendeu a edição da música de piano de Chopin para o editor Jacques Durand. ";Debussy;dedicou ;seu piano à memória de Chopin ;PropN;V;poss N ADP det N ADP propN;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
Em setembro de 1828, Chopin, ainda estudante, visitou Berlim com um amigo da família, o zoólogo Feliks Jarocki, desfrutando de óperas dirigidas por Gaspare Spontini e assistindo a concertos de Carl Friedrich Zelter, Felix Mendelssohn e outras celebridades. ;Chopin ;visitou;Berlim com um amigo;PropN;V;PropN ADP det N ;EXTRAÇÃO  SUGERIDA;;;;;;;;;;;;;;;;;;
A partir de 1236, o príncipe mongol Kublai, que mais tarde governou como Khagan de 1260 a 1294, recebeu um grande appanage no norte da China por seu superior, Ögedei Khan. ;Kublai;governou ;como Khagan de 1260 a 1294 ;PropN;v;conj PropN ADP Num conj Num;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
A partir de 1236, o príncipe mongol Kublai, que mais tarde governou como Khagan de 1260 a 1294, recebeu um grande appanage no norte da China por seu superior, Ögedei Khan. ;o príncipe mongol Kublai;governou ;como Khagan de 1260 a 1294 ;Det N adj PropN;V;conj PropN ADP Num conj Num;Extração sugerida por Rerisson;;;;;;;;;;;;;;;;;;
A partir de 1236, o príncipe mongol Kublai, que mais tarde governou como Khagan de 1260 a 1294, recebeu um grande appanage no norte da China por seu superior, Ögedei Khan. ;Kublai;recebeu;um grande appanage no norte da China;PropN;V;Det adj N ADP de N ADP det PropN;Extração sugerida por Rerisson;;;;;;;;;;;;;;;;;;
Dreyfus escreve que depois que o Phagmodrupa perdeu seu poder centralizador sobre o Tibete em 1434, várias tentativas de outras famílias para estabelecer hegemonias falharam nos próximos dois séculos até 1642 com a efetiva hegemonia do 5º Dalai Lama sobre o Tibete. ;O phagmodrupa ;perdeu ;seu poder sobre o Tibete ;det N;V;poss N ADP det PropN;EXTRAÇÃO VÁLIDA ;;;;;;;;;;;;;;;;;;
Dreyfus escreve que depois que o Phagmodrupa perdeu seu poder centralizador sobre o Tibete em 1434, várias tentativas de outras famílias para estabelecer hegemonias falharam nos próximos dois séculos até 1642 com a efetiva hegemonia do 5º Dalai Lama sobre o Tibete. ;O phagmodrupa ;perdeu ;seu poder sobre o Tibete em 1434;Det N;V;poss N ADP det PropN ADP Num;Extração sugerida por Rerisson;;;;;;;;;;;;;;;;;;
Quando o imperador Ming Yongle convidou Je Tsongkhapa (1357-1419), fundador da escola Gelug, para ir à corte Ming e prestar homenagem, este último recusou. ;O imperador ming yongle ;convidou ;Je Tsongkhapa para ir à corte Ming ;det N PropN;V;PropN ADP v ADP det N propN;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
Chen Qingying afirma que Tsongkhapa escreveu uma carta para recusar o convite do Imperador e, nesta resposta, Tsongkhapa escreveu ;Tsongkhapa ;escreveu ;uma carta;PropN;V;det N;EXTRAÇÃO  SUGERIDA;;;;;;;;;;;;;;;;;;
No entanto, depois que Altan Khan (1507-1582) - líder dos mongóis Tümed que derrubou a hegemonia da confederação Oirat Mongol sobre as estepes - fez as pazes com a dinastia Ming em 1571, ele persuadiu os Ming a reabrir seus mercados de fronteira em 1573. ;Altan khan ;fez ;as pazes com a dinastia Ming;PropN;V;det N ADP det N propN;EXTRAÇÃO  SUGERIDA;;;;;;;;;;;;;;;;;;
No entanto, depois que Altan Khan (1507-1582) - líder dos mongóis Tümed que derrubou a hegemonia da confederação Oirat Mongol sobre as estepes - fez as pazes com a dinastia Ming em 1571, ele persuadiu os Ming a reabrir seus mercados de fronteira em 1573. ;Altan Khan;persuadiu;os Ming;PropN;V;det propN;EXTRAÇÃO SUGERIDA ;;;;;;;;;;;;;;;;;;
No entanto, depois que Altan Khan (1507-1582) - líder dos mongóis Tümed que derrubou a hegemonia da confederação Oirat Mongol sobre as estepes - fez as pazes com a dinastia Ming em 1571, ele persuadiu os Ming a reabrir seus mercados de fronteira em 1573. ;Altan Khan;derrubou ;a hegemonia da confederação Oirat Mongol;PropN;V;det N ADP det N propN;EXTRAÇÃO SUGERIDA ;;;;;;;;;;;;;;;;;;
No entanto, depois que Altan Khan (1507-1582) - líder dos mongóis Tümed que derrubou uma hegemonia da confederação mongol de Oirat sobre as estepes - fez as pazes com a dinastia Ming em 1571, ele persuadiu os Ming a reabrir seus mercados de fronteira em 1573. ;Altan khan;fez ;as pazes com a dinastia Ming;PropN;V;Det N ADP det N propN;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
No entanto, houve casos no século 14 em que o imperador de Hongwu usou a força militar para reprimir a agitação no Tibete. ;O imperador de Hongwo ;usou;a força militar ;Det N ADP PropN;V;Det N adj;EXTRAÇÃO VÁLIDA;;;;;;;;;;;;;;;;;;
Klieger escreve que a presença de Altan Khan no oeste reduziu efetivamente a influência dos Ming e o contato com o Tibete.; A presença de Altan Khan no oeste;reduziu ;a influência dos Ming ;Det N ADP PropN ADP det N;V;det N ADP det N propN;EXTRAÇÃO  VÁLIDA;;;;;;;;;;;;;;;;;;
Klieger escreve que a presença de Altan Khan no oeste reduziu efetivamente a influência dos Ming e o contato com o Tibete.;A presença de Altan Khan no oeste;reduziu ;O contato com o Tibete;Det N ADP PropN ADP det N;V;Det N ADP det PropN;;;;;;;;;;;;;;;;;;;
"Depois que Altan Khan fez as pazes com a dinastia Ming em 1571, ele convidou o terceiro hierarca da Gelug - Sönam Gyatso (1543-1588) - para encontrá-lo em Amdo (Qinghai moderno) em 1578, onde acidentalmente concedeu a ele e seus dois antecessores com o título de Dalai Lama - \""Professor do Oceano\""."" ";Altan khan ;fez ;as pazes com a dinastia Ming ;PropN;V;ADP det N ADP det N PropN;EXTRAÇÃO  SUGERIDA;;;;;;;;;;;;;;;;;;
Embora não tenha sido registrada em nenhum registro oficial chinês, a biografia de Sonam Gyatso afirma que Wanli novamente conferiu títulos a Sonam Gyatso em 1588 e o convidou para Pequim pela segunda vez, mas Sonam Gyatso não pôde visitar a China, pois morreu no mesmo ano na Mongólia. ;Sonam gyatso ;Morreu ;no mesmo ano na Mongólia;PropN;V;ADP det adj N ADP det PropN;EXTRAÇÃO  SUGERIDA;;;;;;;;;;;;;;;;;;
Embora não tenha sido registrada em nenhum registro oficial chinês, a biografia de Sonam Gyatso afirma que Wanli novamente conferiu títulos a Sonam Gyatso em 1588 e o convidou para Pequim pela segunda vez, mas Sonam Gyatso não pôde visitar a China, pois morreu no mesmo ano na Mongólia. ;Wanli;convidou ; Sonam Gyatso para Pequim;PropN;V;PropN ADP PropN;;;;;;;;;;;;;;;;;;;
Embora não tenha sido registrada em nenhum registro oficial chinês, a biografia de Sonam Gyatso afirma que Wanli novamente conferiu títulos a Sonam Gyatso em 1588 e o convidou para Pequim pela segunda vez, mas Sonam Gyatso não pôde visitar a China, pois morreu no mesmo ano na Mongólia. ;Wanli;novamente conferiu;títulos a Sonam Gyato;PropN;adv N;N ADP PropN;Extração sugerida por Rerisson;;;;;;;;;;;;;;;;;;
Embora não tenha sido registrada em nenhum registro oficial chinês, a biografia de Sonam Gyatso afirma que Wanli novamente conferiu títulos a Sonam Gyatso em 1588 e o convidou para Pequim pela segunda vez, mas Sonam Gyatso não pôde visitar a China, pois morreu no mesmo ano na Mongólia. ;Sonam Gyatso;não pôde visitar;a China;PropN;adv V V;det PropN;Extração sugerida por Rerisson;;;;;;;;;;;;;;;;;;
"Sem mencionar o papel dos mongóis, o China Daily afirma que foi a sucessiva dinastia Qing que estabeleceu o título de Dalai Lama e seu poder no Tibete \""Em 1653, o imperador Qing concedeu um título honorífico ao quinto Dalai Lama e depois o fez. ";a sucessiva dinastia Qing;estabeleceu ;o título de Dalai Lama ;Det adj N propN;V;Det N ADP N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Sem mencionar o papel dos mongóis, o China Daily afirma que foi a sucessiva dinastia Qing que estabeleceu o título de Dalai Lama e seu poder no Tibete \""Em 1653, o imperador Qing concedeu um título honorífico ao quinto Dalai Lama e depois o fez. ";o imperador Qing;concedeu;um título honorífico ao quinto Dalai Lama;Det N PropN;V;Det N adj ADP det adj N;Extração sugerida por Rerisson;;;;;;;;;;;;;;;;;;
"Sem mencionar o papel dos mongóis, o China Daily afirma que foi a sucessiva dinastia Qing que estabeleceu o título de Dalai Lama e seu poder no Tibete \""Em 1653, o imperador Qing concedeu um título honorífico ao quinto Dalai Lama e depois o fez. ";o imperador Qing;concedeu um título honorífico a;o quinto Dalai Lama;Det N PropN;V det N adj ADP;det adj N;Extração sugerida por Rerisson;29;"Sem mencionar o papel dos mongóis, o China Daily afirma que foi a sucessiva dinastia Qing que estabeleceu o título de Dalai Lama e seu poder no Tibete \""Em 1653, o imperador Qing concedeu um título honorífico ao quinto Dalai Lama e depois o fez. ";o imperador Qing;concedeu;um título honorífico ao quinto Dalai Lama;;;;Extração sugerida por Rerisson;29;"Sem mencionar o papel dos mongóis, o China Daily afirma que foi a sucessiva dinastia Qing que estabeleceu o título de Dalai Lama e seu poder no Tibete \""Em 1653, o imperador Qing concedeu um título honorífico ao quinto Dalai Lama e depois o fez. ";o imperador Qing;concedeu;um título honorífico ao quinto Dalai Lama;;;;Extração sugerida por Rerisson
O imperador Wanli convidou Yonten Gyatso para Pequim em 1616, mas, assim como seu antecessor, ele morreu antes de poder fazer a jornada. ;O imperador Wanli ;convidou ; Yonten Gyatso para Pequim;PropN;V;PropN ADP PropN;EXTRAÇÃO  SUGERIDA;;;;;;;;;;;;;;;;;;
O imperador Wanli convidou Yonten Gyatso para Pequim em 1616, mas, assim como seu antecessor, ele morreu antes de poder fazer a jornada. ;Yonten Gyatso;morreu;antes de poder fazer a jornada;PropN;V;adv ADP N v det N;EXTRAÇÃO SUGERIDA ;;;;;;;;;;;;;;;;;;
O quarto Dalai Lama se recusou a dar uma audiência ao rei Ü-Tsang, que provocou um conflito quando este começou a atacar mosteiros Gelug. ; Dalai Lama;se recusou a dar ;uma audiência;PropN;V;Det N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
O quarto Dalai Lama se recusou a dar uma audiência ao rei Ü-Tsang, que provocou um conflito quando este começou a atacar mosteiros Gelug. ;Ü-Tsang;começou;a atacar mosteiros Gelug ;PropN;V;det v N;EXTRAÇÃO SUGERIDA ;;;;;;;;;;;;;;;;;;
O quarto Dalai Lama se recusou a dar uma audiência ao rei Ü-Tsang, que provocou um conflito quando este começou a atacar mosteiros Gelug. ;Ü-Tsang;começou a atacar;mosteiros Gelug;PropN;V ADP V;N PropN;;;;;;;;;;;;;;;;;;;
Quando um aliado do governante Ü-Tsang ameaçou novamente a destruição dos Gelugpas, o quinto Dalai Lama Lozang Gyatso pediu ajuda ao príncipe mongol Güshi Khan (1582-1655), líder da tribo Khoshut (Qoshot) dos mongóis Oirat, que estava então em peregrinação a Lhasa. ;o quinto Dalai Lama ;pediu ;ajuda ao príncipe mongol Güshi Khan;Det adj PropN;V;v conj N adj propN;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
Güshi Khan aceitou seu papel de protetor e, de 1637 a 1640, ele não apenas derrotou os inimigos dos Gelugpas nas regiões Amdo e Kham, mas também reassentou toda a sua tribo em Amdo. ;Güshi khan ;aceitou;seu papel de protetor;PropN;V;poss N ADP adj;Extração sugerida por Rerisson;;;;;;;;;;;;;;;;;;
Shih-Shan Henry Tsai escreve que o imperador Yongle enviou seu eunuco Yang Sanbao ao Tibete em 1413 para obter uma lealdade de vários príncipes tibetanos, enquanto o imperador Yongle pagou uma pequena fortuna em troca de presentes em troca de tributos, a fim de manter a lealdade do vassalo vizinho. ;o imperador Yongle;enviou;seu eunuco Yang Sanbao ao Tibete ;Det N PropN;V;poss N propN conj PropN;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
Shih-Shan Henry Tsai escreve que o imperador Yongle enviou seu eunuco Yang Sanbao ao Tibete em 1413 para obter uma lealdade de vários príncipes tibetanos, enquanto o imperador Yongle pagou uma pequena fortuna em troca de presentes em troca de tributos, a fim de manter a lealdade do vassalo vizinho. ;o imperador Yongle;pagou;uma pequena fortuna em troca de presentes em troca de tributos;Det N PropN;V;Det adj N ADP N ADP N ADP N ADP N;Extração sugerida por Rerisson;;;;;;;;;;;;;;;;;;
Shih-Shan Henry Tsai escreve que o imperador Yongle enviou seu eunuco Yang Sanbao ao Tibete em 1413 para obter uma lealdade de vários príncipes tibetanos, enquanto o imperador Yongle pagou uma pequena fortuna em troca de presentes em troca de tributos, a fim de manter a lealdade do vassalo vizinho. ;o imperador Yongle;pagou uma pequena fortuna;a fim de manter a lealdade do vassalo vizinho;Der N PropN;V det adj N;det N ADP v det N ADP det adj adj;Extração sugerida por Rerisson;;;;;;;;;;;;;;;;;;
"Os historiadores Luciano Petech e Sato Hisashi argumentam que os Ming mantiveram uma política de \""dividir e governar\"" em direção a um Tibete fraco e politicamente fragmentado depois que o regime de Sakya caiu. ";Os Ming;mantiveram ;a política de dividir e governar ;Det PropN;V;det N ADP v conj  v;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
A Apple lançou um novo conector dock de 8 pinos, chamado Relâmpago, em 12 de setembro de 2012, com o anúncio do iPhone 5, do iPod Touch de quinta geração e do iPod Nano da sétima geração, todos com esse recurso. ;A apple ;lançou ;um novo conector dock de 8 pinos;Det PropN;V;Det adj N N ADP Num N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
As versões de seis e sete faixas da trilha sonora do jogo foram lançadas em 19 de novembro de 2006, como parte de uma promoção do Nintendo Power e acompanhadas de réplicas da Master Sword e do Hylian Shield. ;As versões de seis e sete faixas da trilha sonora;foram lançadas em;19 de novembro de 2006;Det N ADP Num conj Num N ADP det N adj;V;N ADP Num ADP N ADP Num;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
As versões 3.3 e 3.4 do Wii Menu impediram a cópia de arquivos salvos explorados no console até que os métodos de evasão fossem descobertos, e a versão 4.0 do Wii Menu corrigiu a vulnerabilidade. ;As versões 3.3 e 3.4 do Wii Menu;impediram;a cópia de arquivos salvos explorados;Det N Num punct Num conj Num punct Num ADP PropN;V;Det N ADP N adj adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
As versões 3.3 e 3.4 do Wii Menu impediram a cópia de arquivos salvos explorados no console até que os métodos de evasão fossem descobertos, e a versão 4.0 do Wii Menu corrigiu a vulnerabilidade. ;A versão 4.0 do Wii Menu;corrigiu;a vulnerabilidade;Det N Num punct Num PropN;V;Det N;EXTRAÇÃO SUGERIDA ;;;;;;;;;;;;;;;;;;
As filmagens demoraram 128 dias ;As filmagens ;demoraram ;128 dias. ;Det N;V;num N;EXTRAÇÃO VÁLIDA;;;;;;;;;;;;;;;;;;
O terremoto de Sichuan em 2008 ou o grande terremoto de Sichuan, medido em 8,0 ms e 7,9 Mw, ocorreu às 14h2801 da China no horário local do epicentro (062801 UTC) de 12 de maio na província de Sichuan, matando 69.197 pessoas e deixou 18.222 desaparecidos. ;O terremoto de Sichuan em 2008;ocorreu;às 14h28;Det N ADP PropN;V;ADP det Num pron Num;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
O terremoto de Sichuan em 2008 ou o grande terremoto de Sichuan, medido em 8,0 ms e 7,9 Mw, ocorreu às 14h2801 da China no horário local do epicentro (062801 UTC) de 12 de maio na província de Sichuan, matando 69.197 pessoas e deixou 18.222 desaparecidos. ;O grande terremoto de Sichuan;ocorreu;às 14h28;Det adj N ADP PropN;V;Det ADP Num pron Num;Extração sugerida por Rerisson;;;;;;;;;;;;;;;;;;
Na área epicentral, o escorregamento médio na falha de Beichuan foi cerca de 3,5 metros (11 pés) na vertical, 3,5 metros (11 pés) na horizontal paralelo à falha e 4,8 metros (16 pés) na horizontal perpendicular à falha. ;O escorregamento médio na falha de Beichuan;foi;cerca de 3,5 metros (11 pés) na vertical;Pron det N ADP PropN;V;adv ADP Num punct Num N punct num N punct ADP det N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
Todas as rodovias em Wenchuan, e outras em toda a província, foram danificadas, resultando em atraso na chegada das tropas de resgate. ;Todas as rodovias em Wenchuan;foram;danificadas;Pron det N ADP PropN;V;part ;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
O serviço da China Unicom em Wenchuan e quatro municípios vizinhos foi interrompido, com mais de 700 torres suspensas. ;O serviço da China Unicom;foi;interrompido;Det N ADP det PropN;V;part;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"3.000 a 5.000 pessoas foram mortas no condado de Beichuan, somente em Sichuan; no mesmo local, 10.000 pessoas ficaram feridas e 80% dos edifícios foram destruídos.";3.000 a 5.000 pessoas;foram mortas em;o condado de Beichuan;Num conj Num N;V;adj ADP det N ADP PropN;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"3.000 a 5.000 pessoas foram mortas no condado de Beichuan, somente em Sichuan; no mesmo local, 10.000 pessoas ficaram feridas e 80% dos edifícios foram destruídos.";10.000 pessoas;ficaram ;feridas;Num N;V;adj;EXTRAÇÃO SUGERIDA ;;;;;;;;;;;;;;;;;;
"3.000 a 5.000 pessoas foram mortas no condado de Beichuan, somente em Sichuan; no mesmo local, 10.000 pessoas ficaram feridas e 80% dos edifícios foram destruídos.";80% dos edifícios;foram;destruídos ;Num punct ADP det N ;V;part ;EXTRAÇÃO SUGERIDA ;;;;;;;;;;;;;;;;;;
O governo desconsiderou os avisos sobre tantos projetos de barragens em grande escala em uma área sismicamente ativa.;O governo;desconsiderou ;os avisos sobre tantos projetos de barragem;Det N;V;ADP det N ADP N N ADP N;EXTRAÇÃO SUGERIDA ;;;;;;;;;;;;;;;;;;
Em 2002, o geólogo chinês Chen Xuezhong publicou um estudo de Análise de Risco Sísmico, no qual concluiu que, a partir de 2003;Chen Xuezhong;publicou;um estudo de Análise de Risco Sísmico;ADP punct PropN;V;Det N ADP N ADP N adj;EXTRAÇÃO SUGERIDA ;;;;;;;;;;;;;;;;;;
O governo central estima que mais de 7.000 salas de aula com engenharia inadequada desabaram no terremoto.;mais de 7.000 salas de aula com engenharia inadequada;desabaram;no terremoto;adv ADP Num punct Num Num Num N ADP N ADP N adj;V;ADP det N ADP N N ADP N;Extração sugerida por Rerisson;;;;;;;;;;;;;;;;;;
"Em junho, o ator de Hong Kong Jackie Chan, que doou US $ 1,57 milhão para as vítimas, fez um videoclipe ao lado de outros artistas, intitulado \""Promise\""; a música foi composta por Andy Lau.";Jackie Chan;doou;US $ 1,57 milhão para as vítimas ;PropN;V;Pron punct Num N ADP det N;EXTRAÇÃO SUGERIDA ;;;;;;;;;;;;;;;;;;
"Em junho, o ator de Hong Kong Jackie Chan, que doou US $ 1,57 milhão para as vítimas, fez um videoclipe ao lado de outros artistas, intitulado \""Promise\""; a música foi composta por Andy Lau.";Jackie Chan;doou US $ 1,57 milhão para; as vítimas ;PropN;N Pron punct Num punct Num N ADP;Det adj;Extração sugerida por Rerisson;;;;;;;;;;;;;;;;;;
"Em junho, o ator de Hong Kong Jackie Chan, que doou US $ 1,57 milhão para as vítimas, fez um videoclipe ao lado de outros artistas, intitulado \""Promise\""; a música foi composta por Andy Lau.";Jackie Chan;fez;um videoclipe ao lado de outros artistas ;PropN;V;Det N ADP Det N N;EXTRAÇÃO SUGERIDA ;;;;;;;;;;;;;;;;;;
"Em junho, o ator de Hong Kong Jackie Chan, que doou US $ 1,57 milhão para as vítimas, fez um videoclipe ao lado de outros artistas, intitulado \""Promise\""; a música foi composta por Andy Lau.";A música ;foi composta por;Andy Lau ;Det N;V;N ADP PropN;EXTRAÇÃO SUGERIDA ;;;;;;;;;;;;;;;;;;
